Category,Food Name,Energy (kcal),Protein (g),Total fat (g),Saturated fat (g),Dietary fibre (g),Carbohydrate (g),Cholesterol (mg),Sodium (mg),Sugar(g)
Main,Bak kut teh,323.71,28.11,23.43,9.37,0,0,153.34,1316.15,0
Main,Wanton noodles soup,318.04,25.14,7,1.85,1.74,36.57,76.03,1969.63,4.63
Main,Black carrot cake,556.47,13.16,26.74,10.05,1.54,65.77,205.8,1937.08,13.62
Main,Laksa (with rice vermicelli),695.5,27.3,39.65,14.24,3.9,57.85,104,7904,2.18
Main,Oyster omelette,668.1,18.6,51.09,20.7,0,33.54,366.8,772.9,2.16
Main,Dry prawn noodles,460.93,20.36,13.11,6.21,5.18,65.21,48.3,1935.45,4.84
Main,Fried pork chop,721.89,62.74,31.84,11.77,6.33,46.29,123.68,1189.88,15.46
Main,Japanese Pork Ramen,469.6,33.46,14.15,5.4,8.81,52.83,0,2254.08,4.11
Main,Char siew rice,604.95,23.54,16.35,11.9,5.89,91.23,55.59,879.63,13.08
Main,Chicken rice with steamed chicken,557.7,28.05,13.86,4.95,3.3,80.19,36.63,697.95,0
Main,Dunpling Ban Mian Pork,634.74,31.29,17.97,7.78,2.68,87.61,0,2816.1,8.94
Main,Teochew braised goose,234,19.32,17.4,5.28,0,0.24,38.4,807.6,0.24
Main,Curry chicken Indian style,452.7,53.8,24.04,7.65,3.51,5.29,179.58,729.05,1.63
Main,"Yoghurt, with bengal gram flour, stewed",88.4,3.64,6.66,2.12,2.04,3.47,6.12,161.93,1.42
Main,Nasi Lemak with chicken wing,656.58,26.08,24.94,10.65,6.52,81.21,117.44,877.09,0.8
Main,Fried mee siam,630,17.55,25.65,11.12,7.2,82.8,87.3,1278,12.6
Main,Pad thai,844.36,39.19,45.65,10.91,7.68,66.26,262.6,2464.4,14.54
Main,Char kway teow,744.96,22.66,38.4,29.18,7.3,76.03,234.24,1459.2,3.07
Main,Indian stewed potato and peas,99.25,4.47,4.33,1.19,4.33,10.62,0,381.63,3.63
Main,Subway 6-inch Steak and Cheese Sandwich,394.2,27,11.99,5.4,5,42.01,56.7,1085.4,6.99
Main,Beef pho,355.5,22.12,4.98,2.37,3.95,56.09,0,2204.1,8.69
Main,Chinese rojak,517.58,16.29,21.48,6.06,6.84,63.85,12.36,914.32,0
Main,"Claypot rice with salted fish, chicken and chinese sausages",527,1.62,5.29,1.6,1.47,3.97,0,229.26,4.07
Main,Fried pork with szechuan vegetables                              ,137.54,6.13,9.51,4.19,0.97,6.61,20.96,1979.54,0
Main,Fried rice with ham and vegetables,395.75,10.33,11.18,4.07,3.1,63.45,79.65,453.25,0.28
Main,"Salad with fish and 3 vegetable toppings, no dressing",114.24,12.24,4.52,0.9,5.44,5.98,0,892.16,5.44
Main,Bibimbap,499.1,37.2,10.41,2.99,4.53,62.8,291.88,802.88,15.09
Main,Thai mango salad,397.13,8.94,18.91,4.63,5.52,47.6,0,1893.6,44.71
Main,"Yong tau foo, mixed items, noodles not included",306.65,19.76,15.55,6.8,9.07,21.71,90.72,1733.4,0.35
Main,Deep fried mackerel,196.38,28.84,9.03,4.29,0,0,71.58,1030.14,0
Main,Ma La Xiang Guo,652.83,37.04,50,17.27,12.96,13.89,0,2139.06,4.17
Main,Mashed potato,54.72,1.82,0.99,0.33,0.8,9.69,0,462.84,1.25
Main,McSpicy McDonald's,584.25,22.55,25.99,7.79,2.99,65.01,75.85,1320.2,18.2
